0.02 0
0.06 0
0.1 0
0.14 0
0.18 0
0.22 0
0.26 0
0.3 0
0.34 0
0.38 0
0.42 0
0.46 0
0.5 811
0.54 1699
0.58 1770
0.62 1852
0.66 1917
0.7 1777
0.74 1809
0.78 1818
0.82 1777
0.86 1687
0.9 1623
0.94 1559
0.98 1440
1.02 1390
1.06 1375
1.1 1272
1.14 1168
1.18 1072
1.22 1154
1.26 1016
1.3 969
1.34 889
1.38 926
1.42 907
1.46 844
1.5 861
1.54 771
1.58 765
1.62 747
1.66 731
1.7 707
1.74 648
1.78 673
1.82 700
1.86 702
1.9 639
1.94 627
1.98 559
2.02 577
2.06 523
2.1 622
2.14 542
2.18 550
2.22 530
2.26 516
2.3 519
2.34 515
2.38 484
2.42 474
2.46 460
2.5 431
2.54 480
2.58 433
2.62 423
2.66 420
2.7 413
2.74 411
2.78 408
2.82 394
2.86 395
2.9 405
2.94 378
2.98 353
3.02 369
3.06 383
3.1 338
3.14 337
3.18 350
3.22 376
3.26 348
3.3 361
3.34 313
3.38 332
3.42 304
3.46 314
3.5 274
3.54 308
3.58 261
3.62 292
3.66 305
3.7 290
3.74 277
3.78 297
3.82 272
3.86 282
3.9 259
3.94 264
3.98 274
4.02 233
4.06 220
4.1 243
4.14 259
4.18 271
4.22 258
4.26 212
4.3 234
4.34 243
4.38 223
4.42 217
4.46 245
4.5 208
4.54 194
4.58 242
4.62 203
4.66 185
4.7 227
4.74 178
4.78 229
4.82 200
4.86 190
4.9 194
4.94 218
4.98 184
5.02 190
5.06 224
5.1 193
5.14 176
5.18 168
5.22 194
5.26 173
5.3 203
5.34 191
5.38 179
5.42 201
5.46 163
5.5 185
5.54 181
5.58 172
5.62 189
5.66 168
5.7 158
5.74 166
5.78 188
5.82 179
5.86 168
5.9 151
5.94 142
5.98 155
6.02 161
6.06 170
6.1 157
6.14 149
6.18 151
6.22 155
6.26 167
6.3 151
6.34 185
6.38 158
6.42 168
6.46 160
6.5 145
6.54 161
6.58 159
6.62 155
6.66 155
6.7 168
6.74 152
6.78 152
6.82 170
6.86 148
6.9 148
6.94 180
6.98 166
7.02 188
7.06 165
7.1 181
7.14 167
7.18 189
7.22 168
7.26 178
7.3 175
7.34 180
7.38 179
7.42 196
7.46 183
7.5 201
7.54 203
7.58 211
7.62 222
7.66 223
7.7 239
7.74 224
7.78 258
7.82 244
7.86 269
7.9 273
7.94 290
7.98 284
8.02 284
8.06 339
8.1 298
8.14 334
8.18 360
8.22 347
8.26 360
8.3 383
8.34 378
8.38 432
8.42 459
8.46 466
8.5 472
8.54 447
8.58 512
8.62 508
8.66 566
8.7 558
8.74 610
8.78 585
8.82 445
8.86 96
8.9 120
8.94 117
8.98 120
9.02 103
9.06 124
9.1 114
9.14 115
9.18 119
9.22 120
9.26 118
9.3 135
9.34 109
9.38 144
9.42 139
9.46 155
9.5 141
9.54 158
9.58 144
9.62 133
9.66 159
9.7 154
9.74 168
9.78 171
9.82 179
9.86 194
9.9 163
9.94 175
9.98 201
10.02 202
10.06 104
10.1 109
10.14 119
10.18 123
10.22 105
10.26 115
10.3 131
10.34 108
10.38 102
10.42 127
10.46 121
10.5 120
10.54 109
10.58 105
10.62 92
10.66 107
10.7 109
10.74 94
10.78 82
10.82 84
10.86 79
10.9 89
10.94 106
10.98 86
11.02 72
11.06 109
11.1 104
11.14 94
11.18 115
11.22 142
11.26 138
11.3 155
11.34 148
11.38 109
11.42 108
11.46 113
11.5 95
11.54 105
11.58 99
11.62 0
11.66 0
11.7 0
11.74 0
11.78 0
11.82 0
11.86 0
11.9 0
11.94 0
11.98 0
